Individual,Day,Trap,Sex
1,10,72,0
1,2,72,1
1,3,72,1
1,4,72,1
1,6,72,1
1,1,74,0
1,2,74,0
1,1,74,1
2,5,68,0
2,6,68,1
2,1,69,0
2,1,69,1
3,1,65,0
3,8,66,0
3,1,69,1
4,6,8,0
4,1,64,0
4,1,65,1
4,5,65,1
5,2,18,0
5,4,37,1
5,2,39,1
6,4,8,0
6,5,8,0
6,6,8,0
6,2,39,1
7,4,8,0
7,2,39,1
8,2,36,1
8,4,56,0
9,2,36,1
9,12,64,0
9,5,67,0
10,3,48,1
10,6,48,1
10,5,67,0
11,4,8,1
11,5,8,1
11,6,8,1
11,5,72,0
12,4,8,1
12,8,68,0
13,4,56,1
13,8,96,0
14,5,6,1
14,9,8,0
15,5,5,1
15,6,5,1
15,9,59,0
16,5,5,1
16,10,8,0
17,10,42,0
17,5,72,1
18,10,41,0
18,7,58,1
19,8,6,1
19,11,62,0
20,8,6,1
20,1,72,0
20,3,72,0
20,6,72,0
20,7,75,0
21,9,8,1
21,10,8,1
21,11,8,1
21,5,68,1
21,1,72,0
21,3,72,0
21,6,73,0
21,7,75,0
22,9,62,1
22,5,72,0
22,1,73,0
23,11,56,1
23,14,56,1
23,12,59,1
23,1,65,0
24,1,64,0
24,1,72,1
24,2,72,1
25,2,42,0
25,1,72,1
26,2,17,0
26,1,72,1
26,3,74,1
27,5,65,0
27,1,69,1
27,6,69,1
28,5,5,0
28,1,65,1
29,5,5,0
29,1,65,1
29,6,65,1
30,6,16,0
30,2,42,1
31,7,17,0
31,6,18,0
31,11,20,0
31,2,42,1
32,1,19,0
32,2,40,1
32,8,42,1
33,2,35,1
33,7,62,0
33,8,62,0
33,2,63,0
34,2,22,1
34,3,72,0
34,6,72,0
34,7,74,0
35,2,22,1
35,4,72,0
35,5,72,0
35,6,72,0
36,5,36,0
36,4,59,1
37,6,8,0
37,4,63,1
38,6,59,0
38,5,65,1
39,5,6,1
39,6,6,1
39,7,6,1
39,7,69,0
40,5,68,1
40,6,68,1
40,9,68,1
40,7,69,0
41,11,57,0
41,10,59,0
41,13,59,0
41,5,68,1
41,8,68,1
42,9,5,0
42,5,68,1
43,5,5,1
43,8,5,1
43,9,8,1
43,2,62,0
44,9,44,0
44,8,72,1
44,9,72,1
44,5,74,1
45,6,16,1
45,7,68,0
45,8,68,0
46,6,17,1
46,7,97,0
47,6,17,1
47,7,18,1
47,9,68,0
47,13,68,0
48,6,18,1
48,10,20,1
48,11,20,1
48,10,62,0
48,11,63,0
49,1,8,0
49,1,17,1
49,4,17,1
49,2,18,1
49,5,68,0
50,1,50,0
50,2,56,1
50,7,62,1
51,2,56,1
51,6,59,1
51,8,67,0
51,2,72,0
51,5,72,0
52,6,18,0
52,7,18,0
52,3,20,0
52,3,72,1
52,5,72,1
52,10,72,1
53,13,35,1
53,12,36,1
53,5,40,1
53,5,50,0
54,6,48,1
54,5,58,0
55,7,6,1
55,5,60,0
56,6,68,0
56,10,69,0
56,7,69,1
57,7,17,0
57,8,40,1
58,7,20,0
58,8,39,1
59,9,5,1
59,11,5,1
59,11,40,0
59,14,41,0
59,9,42,0
59,13,42,0
60,10,8,1
60,11,8,1
60,12,8,1
60,9,39,0
61,1,49,0
61,4,49,0
61,5,49,0
61,3,50,0
61,11,68,1
62,11,64,1
62,2,68,0
62,6,68,0
62,7,68,0
63,14,62,1
63,2,68,0
63,6,68,0
63,8,94,0
64,1,18,1
64,2,68,0
65,1,18,1
65,2,68,0
66,1,18,1
66,4,64,0
66,6,64,0
66,2,67,0
67,1,18,1
67,4,43,0
67,11,43,0
68,4,15,0
68,6,15,0
68,9,57,1
68,10,57,1
68,2,58,1
69,4,6,1
69,4,15,0
70,5,48,0
70,4,65,1
71,5,41,1
71,5,62,0
71,11,62,0
72,5,8,0
72,8,8,0
72,5,35,1
73,5,35,1
73,6,69,0
74,6,5,0
74,6,62,1
75,6,5,0
75,6,62,1
76,6,5,0
76,7,65,1
76,8,66,1
76,12,69,0
77,7,68,1
77,8,68,1
77,12,69,0
77,9,96,1
78,7,68,1
78,12,69,0
78,13,69,0
79,13,39,1
79,12,40,1
79,14,41,1
79,8,44,1
79,12,69,0
80,12,6,0
80,8,41,1
80,9,42,1
80,10,42,1
81,8,35,1
81,10,40,0
82,10,6,1
82,10,40,0
82,9,96,1
83,11,59,0
83,9,68,1
83,10,68,1
83,12,68,1
84,13,18,0
84,9,65,1
85,13,39,0
85,10,62,1
86,6,5,0
86,13,57,1
86,10,62,1
87,6,5,0
87,1,8,1
88,6,6,0
88,5,48,1
88,1,50,1
89,6,72,0
89,2,72,1
90,6,72,0
90,2,72,1
91,8,63,0
91,2,72,1
91,6,72,1
91,3,74,1
92,13,69,0
92,2,72,1
93,13,5,0
93,3,72,1
93,2,73,1
94,2,6,1
94,13,68,0
95,2,6,1
95,4,6,1
95,6,6,1
95,14,69,0
96,2,65,1
96,6,69,1
97,5,6,1
97,2,65,1
98,2,65,1
98,6,89,1
99,10,6,1
99,2,65,1
99,9,65,1
100,6,18,1
100,3,20,1
101,5,58,1
101,8,62,1
102,5,58,1
102,7,58,1
103,5,58,1
104,5,58,1
105,6,68,1
105,7,68,1
105,8,68,1
106,6,68,1
107,6,96,1
108,6,89,1
109,6,67,1
110,8,62,1
111,9,40,1
112,9,39,1
112,13,39,1
113,9,37,1
113,11,44,1
114,11,5,1
114,10,69,1
115,10,6,1
116,10,6,1
116,11,62,1
117,12,63,1
118,1,49,1
119,3,72,1
119,4,72,1
119,6,72,1
119,2,74,1
120,2,68,1
121,3,16,1
121,11,16,1
122,4,15,1
123,4,17,1
124,5,59,1
125,5,56,1
125,8,56,1
125,6,58,1
126,10,6,1
126,5,56,1
126,12,68,1
127,5,62,1
127,9,62,1
128,5,62,1
129,5,8,1
130,5,8,1
130,8,8,1
130,9,8,1
130,10,8,1
131,8,68,1
131,6,69,1
132,6,5,1
132,10,5,1
132,13,5,1
132,8,68,1
132,9,68,1
133,6,5,1
133,9,5,1
133,10,5,1
133,8,69,1
134,6,5,1
135,6,5,1
135,7,68,1
136,6,5,1
137,6,5,1
138,11,59,1
138,13,59,1
139,11,8,1
140,8,68,1
140,12,69,1
140,10,94,1
141,10,8,1
141,11,8,1
142,10,40,1
143,10,17,1
143,11,20,1
144,12,97,1
145,12,68,1
146,12,6,1
147,12,6,1
147,13,64,1
148,6,6,1
149,6,6,1
150,6,6,1
151,6,6,1
152,6,65,1
153,7,72,1
154,7,18,1
154,11,18,1
155,7,18,1
155,11,20,1
156,8,8,1